product,reviews
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"I love the smell of the Grapefruit and Orange shampoo, it's nice and uplifting. This formula is good for cleaning oily scalps, but it is drying on the hair shaft."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,My hair smells like a well known dish washing liquid brand... 
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"Love this product. It looks good on my shower shelf, is massive and hence is lasting a long time, and it suits my slightly greasy but dyed hair. Love its environmental credentials too."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,I dont understand all the perfect reviews for this range. The shampoo is just about ok but the scent is overpowering. It didnt do a lot for my hair and the conditioner was useless.
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,left my hair feeling lank and greasy - would not buy again
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"I really like this product, lovely smell and makes my hair soft too. I buy it when discounted."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"I tried this after reading so many great reviews and was not disappointed! Lovely fresh fragrance that my partner noticed straight away, and my hair feels soft and clean. "
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,Leaves my hair soft and smelling wonderful
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,I have tried so many different natural shampoos and conditioners and these are definitely the best. They leave you hair smelling great and clean.
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"A great shampoo, but the bottle was not sealed so it leaked contents over the shopping during transit, hence the 3 stars"
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,The first ever shampoo that keeps my hair so clean I don't need a pony tail the day after washing it. And it's vegan!! Give it a try when on offer!
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"I use the matching shower gel and thought I'd try this, despite the mixed reviews.  I have to say that it suited my rather flyaway hair so maybe it's just a question of trying it out?"
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"I was searching for vegan natural shampoo, was happy to find new brand. But shampoo left my hair weird and feeling like dried grass. Do not recommend, sorry."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,This is absolutely the nicest shampoo I have ever used. It smells absolutely divine and leaves my hair so so soft. Love it!
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,I don't tend to stick to one type of shampoo but since trying this I have replaced it several times. Smells lovely and my hair looks great used with the conditioner it is tangle free.
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"Wow, what can I say? Well it's just brilliant. I have developed an itchy scalp & thought maybe it was due to sls.  Used it for the first time, along with the matching conditioner. Hair is clean, soft & actually looks lighter! I do not colour my hair at all so I think this has got rid of any residue fro my other shampoo etc that probably dulled my hair. Would recommend to all"
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"Really yummy shampoo. Scent is gorge and washes hair beautifully. Could do without the propyl ingredients as they are the bad guys, but one day hopefully this will change."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"I'm not fussy when it comes to shampoo, I'd use pretty much any brand. I thought I'd buy something organic and free from nasties but this shampoo isn't working for me. I don't like the smell and for some reason my hair doesn't feel clean. Feels quite greasy. Very unpleasant."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"This is a really very good shampoo. I have fine, straight hair which gets greasy very quickly. I was looking for a vegan, organic, cruelty free shampoo that was effective in hard water. Bingo! I found this one which, please excuse the cliche, ticks all the boxes and more! It also adds volume. I used to have to wash my hair every day (I know, not good for greasy hair but I couldnt go out with my hair looking like that). Now I can go 3 or 4 days without washing it. The flaky scalp is no more. Im sticking with this shampoo and highly recommend it to anyone else."
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,It is the best vegan shampoo I have ever used.
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,My hair feels super cleansed after using this. The fragrance is lovely and zingy!
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,This has become my favourite shampoo. It smells gorgeous and leaves my hair shiny and fresh. Add in the fact that its cruelty free and British made and whats not to love.
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,Lovely scented shampoo which is kind to your hair & scalp. Only a minor thing but it could be a little thicker as I found it to be a bit runny. 
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,My hair feels silky and beautiful
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,All from natural sources and organic - smells delicious and only need a small dollop to work into lather. Worth the extra cost. Love it.
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"Been using this for years. It is consistently good in hard water areas, good value for money, no nasties and British made. All good :)"
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,"Fantastic fragrance, nice texture and long lasting results. Will buy again"
